symbol,rs_date,RS_20d,RS_60d,RS_120d,RS_180d,RS_250d,RS_20d_z,RS_60d_z,RS_120d_z,RS_180d_z,RS_250d_z,RS_Score,RS_Rating
CIC,2026-03-13,1.0143996069363634,0.9052250730968481,0.9201338720503439,0.8864534093650409,0.9250953899058609,-0.07252625203314349,-0.23077398775863403,-0.12148189197301891,-0.21411017723897707,-0.168595613683005,-0.17496667202440547,27.796610169491526
CLI,2026-03-13,1.0317956151025207,1.0136193192365044,1.031808715480183,1.0377225299084878,0.9552615439245303,0.1108991919595675,-0.02309016860198875,-0.02973408741673351,-0.09979245480071693,-0.14504806713537974,-0.044986354269273596,65.76271186440678
CNPF,2026-03-13,0.9756217860680663,0.8826953123295653,0.9408050823095394,0.9401884182981681,0.949378074169116,-0.4814039061420187,-0.27394110158132046,-0.10449921171527517,-0.17350133510142832,-0.14964067373154785,-0.21359389209743465,20.0
CNVRG,2026-03-13,0.9362936616175322,0.8682909594911616,1.0591859802232413,0.7472322439190673,0.6887249775951911,-0.8960840223984425,-0.3015399005628198,-0.007241967814973163,-0.3193229694586075,-0.3531051564945342,-0.29871123172833514,9.152542372881356
COAL,2026-03-13,1.0443275456503245,1.0043479474456172,0.9518626262589764,1.9527669307751625,0.21825641150458458,0.24303726081197452,-0.040854154892107794,-0.09541475410613727,0.5917286663716386,-0.7203505286542337,-0.0015130549367765173,74.23728813559322
COL,2026-03-13,1.0443275456503245,0.9548378373602698,0.9201338720503438,0.9763834653875811,0.8909834520282094,0.24303726081197452,-0.13571572841274335,-0.121481891973019,-0.1461478651272385,-0.19522321906175424,-0.10529452132059114,43.050847457627114
COSCO,2026-03-13,0.9687136659789212,0.9421157859455842,0.918240592478224,1.000449255027416,1.3054696353522308,-0.554243892327557,-0.16009123098236241,-0.12303733847124837,-0.12796076751987176,0.12832258956633655,-0.14055485821430042,35.932203389830505
CPG,2026-03-13,0.974705709273636,0.9969630360673405,1.0456066727844817,1.061286375421284,1.1731282118371424,-0.4910631217014072,-0.05500367531220275,-0.018398210408532366,-0.08198468847516215,0.025017546819691244,-0.08285127303801339,48.8135593220339
CPM,2026-03-13,1.0443275456503245,1.010586133454596,0.9899826477529103,1.0638560760881635,0.96531692859742,0.24303726081197452,-0.028901764972027975,-0.06409679408675166,-0.0800427037096636,-0.13719888495283808,-0.03697937541695728,68.47457627118644
CREC,2026-03-13,1.0134724136197464,0.9730359232017243,0.9610987362169688,1.116738588537046,1.160445744682146,-0.08230268143827674,-0.10084812147330999,-0.08782671739831209,-0.04007811372427492,0.015117677400268906,-0.06618935507021334,52.20338983050847
CREIT,2026-03-13,0.9989220001872667,0.8977468109691461,0.8987100762922656,0.9562916805834045,1.056776096195424,-0.23572385821849212,-0.2451023685966224,-0.1390828678570894,-0.16133171144221345,-0.06580632344538836,-0.17401110417035923,28.474576271186443
CROWN,2026-03-13,1.0504347242798584,0.9856703017619287,1.0339483405443761,1.0584324960924198,1.017368331610026,0.3074320312078835,-0.07664060045163729,-0.027976252830319633,-0.08414143390884554,-0.09656782424321031,-0.030556500640533397,70.16949152542374
CSB,2026-03-13,1.0513838128506645,0.8488428135659071,0.8902593956850731,1.3460504842963508,1.3073754941191789,0.31743932660724944,-0.33880262773810405,-0.146025625678849,0.13321841604350576,0.12981029323582435,-0.060288034886343725,53.898305084745765
CTS,2026-03-13,1.0051652626884373,0.9943044679711609,0.9608992967614352,0.8390795405674526,0.6674694998383741,-0.16989420435180153,-0.060097502663436914,-0.08799056927063294,-0.24991175236926805,-0.36969707442881583,-0.16245322519004546,29.830508474576273
CYBR,2026-03-13,1.0443275456503245,0.9684783778939879,0.9858577200539399,1.046125141486694,1.005538467288979,0.24303726081197452,-0.10958039693256832,-0.06748567782019263,-0.09344239859160443,-0.1058021562226712,-0.06000061560534277,57.79661016949152
DD,2026-03-13,1.0521712074738785,0.9778507492929621,0.9932622308268774,0.7934664845363536,0.9959922160172484,0.3257417030479246,-0.09162289498006072,-0.06140241335018525,-0.28438263882772624,-0.11325391145926136,-0.08412791601120653,47.11864406779661
DDMPR,2026-03-13,0.9873642249784885,0.9874681500095563,0.9764685989105691,1.0073797658760757,0.9959619104576556,-0.3575903248807914,-0.07319591585232454,-0.07519942269916774,-0.12272321333362345,-0.11327756782509182,-0.11805394075905691,40.33898305084746
DELM,2026-03-13,1.2198634522596343,1.0633892589275988,1.28865687692765,1.9468566192413392,1.7359767878668224,2.093907374170176,0.07226923950649015,0.1812825945267571,0.5872621014109914,0.46437428533932307,0.4635007209837507,94.91525423728814
DFNN,2026-03-13,1.0718098494832278,0.9684783778939879,0.9046694372259685,0.4100390001807143,0.27045517396048413,0.5328137275935718,-0.10958039693256832,-0.13418688353838973,-0.5741480355874627,-0.6796044399119293,-0.22990974030929273,17.627118644067796
