symbol,RS_Change_5D,RS_Change_10D,RS_Change_20D,RS_Change_60D,RS_Current,RS_Accel,RS_Accel_Rank
UBP,-11.52542372881356,-4.745762711864405,11.86440677966102,15.593220338983052,28.8135593220339,6.305084745762714,118.0
LMG,1.6949152542372872,11.52542372881355,7.118644067796609,1.355932203389827,66.44067796610169,6.237288135593216,119.0
BEL,-20.67796610169492,-1.355932203389834,10.508474576271187,17.288135593220343,38.30508474576271,6.11864406779661,120.0
CEU,-1.694915254237273,12.542372881355938,6.779661016949163,1.6949152542373014,72.20338983050848,6.101694915254248,121.0
ATNB,-2.3728813559322077,3.050847457627121,5.423728813559315,11.525423728813557,44.06779661016949,5.576271186440675,122.0
CLI,17.966101694915253,9.491525423728817,-4.406779661016955,12.203389830508478,65.76271186440678,5.457627118644067,123.0
ANS,-5.0847457627118615,3.728813559322049,-3.050847457627114,24.406779661016955,80.67796610169492,5.305084745762719,124.0
LAND,11.1864406779661,2.711864406779661,0.3389830508474567,12.542372881355934,30.508474576271187,5.067796610169491,125.0
PBB,2.372881355932204,5.7627118644067785,9.83050847457627,-2.372881355932204,28.135593220338983,5.016949152542372,126.0
TUGS,4.067796610169491,16.271186440677965,6.101694915254235,-7.796610169491526,25.76271186440678,4.966101694915253,127.0
STN,9.491525423728813,16.61016949152542,10.169491525423723,-17.28813559322034,41.35593220338983,4.847457627118642,128.0
TFHI,21.016949152542367,14.576271186440675,18.983050847457623,-34.57627118644068,32.20338983050847,4.694915254237284,129.0
EURO,-8.813559322033882,17.6271186440678,6.101694915254242,-5.423728813559322,73.22033898305085,4.610169491525428,130.0
ARA,6.101694915254237,2.372881355932204,5.76271186440678,4.067796610169491,11.186440677966102,4.525423728813561,131.0
MRSGI,10.847457627118644,7.457627118644069,8.135593220338983,-6.779661016949156,46.440677966101696,4.508474576271186,132.0
SFI,0.6779661016949206,-8.813559322033896,7.457627118644069,12.542372881355938,44.74576271186441,3.9830508474576307,133.0
DHI,0.0,0.0,0.0,15.593220338983073,99.66101694915255,3.8983050847457683,134.0
AB,4.067796610169492,3.389830508474577,3.7288135593220346,4.067796610169492,5.084745762711865,3.7627118644067803,135.0
NRCP,22.71186440677966,25.762711864406775,19.322033898305083,-51.186440677966104,37.96610169491525,3.6440677966101696,136.0
IMP,-3.7288135593220346,8.13559322033899,-1.355932203389841,7.118644067796609,94.23728813559322,2.89830508474576,137.0
SGP,2.0338983050847474,1.6949152542373014,5.762711864406782,-0.33898305084744607,93.55932203389831,2.8474576271186516,138.0
HVN,2.711864406779661,2.711864406779661,2.3728813559322033,3.389830508474576,4.067796610169491,2.7457627118644066,139.5
ALLDY,-2.3728813559322033,1.35593220338983,4.067796610169491,4.067796610169491,4.406779661016949,2.7457627118644066,139.5
CAB,-0.3389830508474745,5.423728813559308,2.711864406779654,1.355932203389827,67.79661016949152,2.7457627118643977,141.0
SHLPH,0.6779661016949206,0.6779661016949206,1.355932203389827,7.457627118644069,98.98305084745763,2.6440677966101704,142.0
MER,-1.0169491525423808,7.796610169491515,-2.711864406779668,7.457627118644055,78.98305084745762,2.627118644067787,143.0
MWC,17.966101694915253,14.237288135593225,-3.050847457627114,-6.440677966101703,77.96610169491525,2.5254237288135597,144.0
EW,-2.372881355932222,2.0338983050847474,-2.0338983050847474,12.20338983050847,86.10169491525423,2.5084745762711833,145.0
AC,0.3389830508474603,-13.898305084745772,-14.576271186440678,46.77966101694915,65.42372881355932,2.4237288135593182,146.0
TBGI,3.389830508474578,14.576271186440678,9.152542372881355,-22.033898305084744,21.35593220338983,2.1355932203389836,147.0
LOTO,-2.3728813559322015,1.3559322033898313,2.3728813559322037,4.067796610169492,6.101694915254238,2.0677966101694922,148.0
ALTER,-2.033898305084744,9.830508474576272,-3.389830508474576,4.067796610169491,13.898305084745763,1.9152542372881358,149.0
PGOLD,10.847457627118644,-2.0338983050847474,1.6949152542372872,2.0338983050847474,77.62711864406779,1.7627118644067794,150.0
CEI,16.27118644067795,8.135593220338976,-5.423728813559336,0.0,82.03389830508473,1.4915254237288043,151.0
MFC,1.6949152542372872,5.423728813559322,2.711864406779654,-4.7457627118644155,75.9322033898305,1.423728813559317,152.0
GSMI,4.067796610169495,6.440677966101703,6.779661016949156,-14.576271186440678,48.47457627118644,1.0847457627118686,153.0
FILRT,-5.423728813559322,-5.423728813559322,4.067796610169495,5.0847457627118615,36.271186440677965,1.0000000000000009,154.0
DELM,-1.355932203389827,2.3728813559322077,0.3389830508474603,1.355932203389827,94.91525423728814,0.9322033898305101,155.0
V,25.084745762711876,12.881355932203405,-1.0169491525423666,-17.627118644067792,68.13559322033899,0.9152542372881447,156.0
SMC,0.0,27.45762711864407,19.322033898305087,-55.254237288135585,29.491525423728817,0.7796610169491558,157.0
NIKL,1.355932203389827,1.355932203389827,-0.33898305084744607,1.6949152542373014,96.94915254237289,0.7627118644067863,158.0
AT,4.406779661016941,1.0169491525423666,-1.355932203389841,1.694915254237273,97.28813559322033,0.5762711864406677,159.0
FNI,0.6779661016949206,2.372881355932222,-0.33898305084744607,0.0,97.6271186440678,0.525423728813569,160.0
ANI,-12.542372881355945,9.15254237288135,3.050847457627114,-7.118644067796609,71.86440677966101,0.4745762711864363,161.0
RRHI,-12.203389830508478,-5.762711864406775,-9.15254237288135,27.11864406779661,62.71186440677966,0.457627118644071,162.0
ABS,-7.796610169491522,9.152542372881356,4.745762711864401,-12.20338983050847,42.3728813559322,0.35593220338982956,163.0
JOH,-2.0338983050847457,-20.677966101694913,8.8135593220339,7.457627118644069,12.203389830508476,0.01694915254237417,164.0
SRDC,0.0,0.0,0.0,0.0,100.0,0.0,165.0
APX,-0.3389830508474603,-0.3389830508474603,0.3389830508474603,-0.3389830508474603,98.64406779661017,-0.06779661016949207,166.0
SOC,1.6949152542372872,-8.135593220338983,-3.389830508474578,12.542372881355933,26.440677966101696,-0.08474576271186507,167.0
WEB,0.0,0.0,0.0,-0.3389830508474745,99.32203389830508,-0.08474576271186862,168.0
REDC,-1.0169491525423666,1.6949152542372872,3.7288135593220346,-7.7966101694915295,81.69491525423729,-0.13559322033898313,169.0
PHN,7.796610169491526,11.525423728813559,-8.8135593220339,-1.6949152542372907,26.779661016949152,-0.28813559322034044,170.0
ICT,-0.6779661016949206,0.6779661016949206,-1.355932203389827,-0.6779661016949206,93.89830508474576,-0.6101694915254228,171.0
VMC,11.525423728813564,17.966101694915256,-19.999999999999993,6.779661016949156,46.779661016949156,-0.661016949152538,172.0
RFM,-1.6949152542372872,1.6949152542372872,-5.762711864406768,5.423728813559322,85.42372881355932,-0.6949152542372836,173.0
VITA,-19.322033898305087,6.101694915254235,-4.067796610169495,5.0847457627118615,42.03389830508474,-0.7627118644067825,174.0
ABG,0.3389830508474576,0.0,-1.0169491525423728,-1.694915254237288,1.0169491525423728,-0.7966101694915254,175.0
OGP,-0.3389830508474603,-1.6949152542372872,0.0,-2.3728813559322077,96.27118644067797,-1.0508474576271198,176.0
PX,-1.6949152542372872,-4.406779661016955,3.3898305084745743,-6.101694915254242,92.20338983050847,-1.4406779661016984,177.0
FERRO,0.0,0.0,-0.3389830508474576,-6.101694915254237,0.3389830508474576,-1.6610169491525424,178.0
BCP,-2.711864406779654,0.6779661016949206,1.0169491525423808,-8.474576271186436,86.4406779661017,-1.813559322033892,179.0
